flag_type,file_path,split,fine_class,source_tag,true_label,predicted_label,confidence
model_flagged,data/final/train\paper\gc12_paper_eefbdd.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.888902
model_flagged,data/final/train\paper\gc12_paper_8af602.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.888513
model_flagged,data/final/train\cardboard\gcv2_cardboard_66d7ed.jpg,train,cardboard,gcv2_,biodegradable,non_biodegradable,0.885364
model_flagged,data/final/train\paper\gcv2_paper_32bf5f.jpg,train,paper,gcv2_,biodegradable,non_biodegradable,0.885301
model_flagged,data/final/train\paper\gc12_paper_40ed04.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.883789
model_flagged,data/final/train\paper\gc12_paper_cd8a08.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.882179
model_flagged,data/final/train\cardboard\extra_01078.jpg,train,cardboard,unknown,biodegradable,non_biodegradable,0.881894
model_flagged,data/final/train\cardboard\gc12_cardboard_6bacfd.jpg,train,cardboard,gc12_,biodegradable,non_biodegradable,0.880924
model_flagged,data/final/train\paper\gc12_paper_f9c010.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.880605
model_flagged,data/final/val\textile\gc12_shoes_6b1414.jpg,val,textile,gc12_,non_biodegradable,biodegradable,0.879090
model_flagged,data/final/train\paper\gc12_paper_372e4b.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.877730
model_flagged,data/final/train\paper\gc12_paper_160216.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.876973
model_flagged,data/final/val\paper\gc12_paper_4fe9e4.jpg,val,paper,gc12_,biodegradable,non_biodegradable,0.876765
model_flagged,data/final/train\cardboard\gcv2_cardboard_b1caec.jpg,train,cardboard,gcv2_,biodegradable,non_biodegradable,0.876315
model_flagged,data/final/val\paper\gcv2_paper_d42c87.jpg,val,paper,gcv2_,biodegradable,non_biodegradable,0.875441
model_flagged,data/final/train\paper\gcv2_paper_888f62.jpg,train,paper,gcv2_,biodegradable,non_biodegradable,0.874242
model_flagged,data/final/train\cardboard\gc12_cardboard_abecb4.jpg,train,cardboard,gc12_,biodegradable,non_biodegradable,0.871269
model_flagged,data/final/train\paper\gc12_paper_00b7f8.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.869404
model_flagged,data/final/train\paper\gc12_paper_bd114f.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.868315
model_flagged,data/final/train\paper\gcv2_paper_5d5d70.jpg,train,paper,gcv2_,biodegradable,non_biodegradable,0.862398
model_flagged,data/final/test\paper\gcv2_paper_0947cc.jpg,test,paper,gcv2_,biodegradable,non_biodegradable,0.856434
model_flagged,data/final/train\paper\taco_Paper_bag_ed2348.jpg,train,paper,taco_,biodegradable,non_biodegradable,0.855596
model_flagged,data/final/train\cardboard\gc12_cardboard_73379c.jpg,train,cardboard,gc12_,biodegradable,non_biodegradable,0.855500
model_flagged,data/final/train\paper\gcv2_paper_c80601.jpg,train,paper,gcv2_,biodegradable,non_biodegradable,0.853671
model_flagged,data/final/train\cardboard\gcv2_cardboard_781980.jpg,train,cardboard,gcv2_,biodegradable,non_biodegradable,0.852058
model_flagged,data/final/val\cardboard\gc12_cardboard_f7a0bf.jpg,val,cardboard,gc12_,biodegradable,non_biodegradable,0.851757
model_flagged,data/final/train\paper\gc12_paper_05201c.jpg,train,paper,gc12_,biodegradable,non_biodegradable,0.850732
